Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	10.8334	-31.644	0.118294	1.73759	0.127103	1457.15	185.208
6.28319	10.9501	-31.272	0.120542	1.73758	0.130343	1429.37	186.308
6.28319	10.9834	-31.173	0.121064	1.73757	0.130892	1423.11	186.274
6.28319	11.0334	-31.036	0.121834	1.73757	0.132197	1413.88	186.910
6.28319	11.0834	-30.900	0.122688	1.73757	0.133053	1403.88	186.790
6.28319	11.2334	-30.415	0.125855	1.73756	0.136249	1367.97	186.384
6.28319	11.2667	-30.320	0.126413	1.73757	0.136946	1361.81	186.494
6.28319	11.3167	-30.177	0.127167	1.73756	0.137771	1353.57	186.483
6.28319	11.3667	-30.019	0.128008	1.73756	0.138534	1344.55	186.265
6.28319	11.4167	-29.886	0.128997	1.73755	0.140002	1333.96	186.757
6.28319	11.7501	-28.881	0.136462	1.73757	0.146783	1259.80	184.918
6.28319	11.7834	-28.778	0.137145	1.73755	0.147530	1253.38	184.911
6.28319	11.8251	-28.649	0.137928	1.73756	0.148873	1246.03	185.499
6.28319	12.0667	-27.907	0.144174	1.73755	0.153544	1191.21	182.904
6.28319	12.1001	-27.831	0.144729	1.73756	0.154127	1186.55	182.879
6.28319	12.3501	-27.097	0.136251	1.56308	0.158629	1133.04	179.733
6.28319	12.3834	-26.981	0.135987	1.55754	0.159043	1131.14	179.900
6.28319	12.4334	-26.825	0.136112	1.55105	0.159709	1125.28	179.717
6.28319	12.4834	-26.692	0.136385	1.54059	0.159945	1115.41	178.405
6.28319	12.5334	-26.560	0.136328	1.52554	0.160668	1104.85	177.515
6.28319	12.5834	-26.388	0.136156	1.51500	0.161732	1098.42	177.649
6.28319	12.6334	-26.224	0.136234	1.50527	0.162284	1090.64	176.994
6.28319	12.6834	-26.077	0.136236	1.49368	0.162927	1082.12	176.306
6.28319	12.7334	-25.946	0.136392	1.48183	0.163635	1072.19	175.447
6.28319	12.7834	-25.786	0.136160	1.47037	0.164269	1065.60	175.045
6.28319	12.8334	-25.645	0.136237	1.46126	0.165285	1058.23	174.909
6.28319	12.8834	-25.477	0.136333	1.45017	0.166101	1049.32	174.294
6.28319	12.9334	-25.331	0.136244	1.43811	0.166405	1041.22	173.264
6.28319	12.9834	-25.190	0.136371	1.42747	0.166964	1032.46	172.383
6.28319	13.0334	-25.032	0.136398	1.41288	0.167741	1021.58	171.361
6.28319	13.0834	-24.882	0.136237	1.40132	0.168366	1014.31	170.775
6.28319	13.1334	-24.737	0.136246	1.39160	0.169313	1007.05	170.507
6.28319	13.1834	-24.575	0.136454	1.37822	0.170934	995.588	170.180
6.28319	13.2334	-24.423	0.136401	1.36527	0.170461	986.695	168.193
6.28319	13.2834	-24.287	0.136357	1.35308	0.171113	978.093	167.364
6.28319	13.3334	-24.130	0.136414	1.34103	0.172149	968.809	166.780
6.28319	13.3834	-24.000	0.136250	1.32810	0.172826	960.513	166.001
6.28319	13.4334	-23.858	0.136244	1.31869	0.173061	953.709	165.050
