Filename	PLA
Instrument name	0850-00115
Operator	
rundate	2019/12/19
proceduresegments	DMA Oscillatory Temperature Ramp
[File Parameters]
Name	PLA
Instrument type	DMA850
Instrument serial number	0850-00115
Instrument name	0850-00115
Instrument location	MFG
Company name	TA
Trios version	4.4.0.41128
File name	D:\2019SJTU\密西根\朱宰亨\邹璧卉\1219 yp201979474\PLA.tri
Run date	2019/12/19 12:33:09
Preload Direction	-1.00000
Starting Force	0.00000
Starting Displacement	17254.8
Time at start of test	0.136161
[Clamp Parameters]
Geometry mass	21.42
Clamp Compliance	0.384603
Zero reference position	28.675
Tool mass calibration date	2019/12/2
Compliance calibration date	2019/12/2
[Firmware Versions]
InfoVerDsp	V2018.9.27
InfoVerWinCe	V2018.8.7
InfoVerDmaIface14	V2017.10.23
InfoVerDmaPower15	V2017.8.9
[Calibration Date Information]
InfoDateDynPhase	2018/11/9 14:33
InfoDateStaticNrm	2018/11/9 13:57
InfoDateTorqLag	2018/6/9 4:07
InfoDateADGain	2018/6/9 3:50
InfoDateInertiaPhase	2018/11/9 14:12
InfoDateInertiaMass	2018/6/11 20:32
InfoDateShaftMass	2018/6/9 3:26
InfoDateDmaForcePosn	2018/6/11 20:26
InfoDateDmaEncoderCorr	2018/6/11 20:30
InfoDateDmaInstStability	2018/11/9 13:52
InfoDateDmaTempOffset	2019/3/26 15:26
InfoDateDmaThermocoupleCal	2019/3/26 14:21
InfoDateSpare17	2018/6/9 3:23
[Calibration Parameters]
SPFrtScaleHi	1987.868
InfoOlStressTol	1.000e-2
InfoOlStressMaxCnt	0
InfoIntSpare8	0
Collect data only when stable	Enabled
Temperature option	None
[step]
Temperature Ramp - 1
Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	10.4497	9.615	0.0438484	1.11136	0.0155078	2534.24	43.5099
6.28319	10.4997	9.771	0.0438289	1.11087	0.0172720	2534.18	43.4312
6.28319	10.5497	9.998	0.0438248	1.11026	0.0170676	2533.03	43.4159
6.28319	10.5997	10.173	0.0437811	1.10967	0.0174870	2534.19	43.4861
6.28319	10.6497	10.323	0.0438202	1.11073	0.0174713	2534.35	43.5243
6.28319	10.6997	10.476	0.0438373	1.10926	0.0176389	2530.01	43.7020
6.28319	10.7497	10.665	0.0438245	1.10880	0.0181023	2529.68	44.0339
6.28319	10.7997	10.847	0.0437937	1.10790	0.0174377	2529.43	43.9264
6.28319	10.8497	11.009	0.0438119	1.10833	0.0168031	2529.39	44.3494
6.28319	10.8997	11.103	0.0438142	1.10760	0.0172957	2527.58	44.2627
6.28319	10.9497	11.271	0.0438187	1.10758	0.0169058	2527.29	44.3848
6.28319	10.9997	11.440	0.0438073	1.10709	0.0177306	2526.78	44.5199
6.28319	11.0497	11.620	0.0438065	1.10670	0.0181734	2525.92	44.5508
6.28319	11.0997	11.774	0.0438052	1.10734	0.0188713	2527.42	44.3041
6.28319	11.1497	11.959	0.0438318	1.10706	0.0166380	2525.35	44.0433
6.28319	11.1997	12.124	0.0438738	1.10511	0.0181938	2518.42	44.0677
6.28319	11.2497	12.289	0.0437670	1.10442	0.0169918	2523.06	44.0887
6.28319	11.2997	12.452	0.0438069	1.10521	0.0178443	2522.52	44.1622
6.28319	11.3497	12.655	0.0438259	1.10508	0.0184491	2521.10	44.1575
6.28319	11.3997	12.815	0.0438250	1.10429	0.0177210	2519.39	44.3393
6.28319	11.4497	12.953	0.0438236	1.10336	0.0162588	2517.41	44.2258
6.28319	11.4997	13.126	0.0438615	1.10230	0.0166980	2512.78	44.1141
6.28319	11.5497	13.299	0.0437812	1.10132	0.0176871	2515.10	44.3781
6.28319	11.5997	13.433	0.0437938	1.10209	0.0170188	2516.18	44.3666
6.28319	11.6497	13.602	0.0438459	1.10155	0.0178328	2511.91	44.5628
6.28319	11.6997	13.748	0.0437954	1.10043	0.0171963	2512.28	44.6098
6.28319	11.7497	13.899	0.0437796	1.10104	0.0188173	2514.51	44.5027
6.28319	11.7997	14.061	0.0438578	1.10144	0.0175098	2510.99	44.4085
6.28319	11.8497	14.234	0.0438065	1.10005	0.0182218	2510.73	44.7636
6.28319	11.8997	14.385	0.0438292	1.09946	0.0183015	2508.10	45.1101
6.28319	11.9497	14.558	0.0438072	1.09918	0.0182729	2508.70	44.9137
6.28319	11.9997	14.686	0.0438373	1.09906	0.0182235	2506.72	45.2015
6.28319	12.0497	14.843	0.0438095	1.09722	0.0183467	2504.11	45.2396
6.28319	12.0997	15.002	0.0438154	1.09710	0.0179889	2503.51	45.3067
6.28319	12.1497	15.127	0.0438255	1.09747	0.0171910	2503.81	45.1217
6.28319	12.1997	15.216	0.0438280	1.09659	0.0183022	2501.61	45.2385
6.28319	12.2497	15.375	0.0438598	1.09560	0.0188719	2497.51	45.0661
6.28319	12.2997	15.557	0.0437802	1.09413	0.0167340	2498.78	44.9592
6.28319	12.3497	15.716	0.0438121	1.09467	0.0188923	2498.11	44.8944
6.28319	12.3997	15.855	0.0438051	1.09364	0.0181774	2496.18	44.8912
6.28319	12.4497	15.989	0.0438434	1.09365	0.0178220	2494.04	44.7715
6.28319	12.4997	16.149	0.0438040	1.09284	0.0177529	2494.46	44.7914
6.28319	12.5497	16.307	0.0437933	1.09316	0.0181414	2495.76	45.0263
6.28319	12.5997	16.432	0.0438483	1.09286	0.0173160	2491.99	45.0102
6.28319	12.6497	16.551	0.0438144	1.09198	0.0179481	2491.89	44.8353
6.28319	12.6997	16.688	0.0438092	1.09122	0.0180621	2490.43	45.0566
6.28319	12.7497	16.854	0.0438263	1.09134	0.0182937	2489.72	44.9516
6.28319	12.7997	17.022	0.0438205	1.09073	0.0177210	2488.70	44.9218
6.28319	12.8497	17.149	0.0438069	1.09030	0.0182196	2488.48	44.9431
6.28319	12.8997	17.335	0.0438091	1.08996	0.0187222	2487.53	45.0276
6.28319	12.9497	17.500	0.0438223	1.09001	0.0183047	2486.92	45.0774
6.28319	12.9997	17.641	0.0438271	1.08866	0.0180092	2483.59	45.0601
6.28319	13.0497	17.799	0.0438229	1.08872	0.0179957	2483.97	45.0092
6.28319	13.0997	17.998	0.0438074	1.08789	0.0184572	2482.92	45.0592
6.28319	13.1497	18.175	0.0438194	1.08739	0.0180762	2481.11	44.9943
6.28319	13.1997	18.315	0.0438028	1.08729	0.0180893	2481.83	45.0016
6.28319	13.2497	18.419	0.0438323	1.08671	0.0182912	2478.83	44.9762
6.28319	13.2997	18.580	0.0437995	1.08643	0.0185324	2480.03	44.8773
6.28319	13.3497	18.745	0.0438457	1.08585	0.0173239	2476.14	44.8090
6.28319	13.3997	18.909	0.0437960	1.08505	0.0177383	2477.12	44.6517
6.28319	13.4497	19.057	0.0438207	1.08499	0.0185598	2475.55	44.7807
6.28319	13.4997	19.209	0.0438116	1.08413	0.0180444	2474.14	44.8069
6.28319	13.5497	19.370	0.0438426	1.08310	0.0179307	2470.02	44.8620
6.28319	13.5997	19.496	0.0437809	1.08242	0.0180034	2471.96	44.9224
6.28319	13.6497	19.634	0.0438633	1.08288	0.0183040	2468.34	44.9454
6.28319	13.6997	19.811	0.0438041	1.08201	0.0180330	2469.70	45.0796
6.28319	13.7497	19.909	0.0438256	1.08115	0.0172508	2466.57	45.1828
6.28319	13.7997	20.052	0.0438120	1.08110	0.0188879	2467.15	45.3799
6.28319	13.8497	20.191	0.0438048	1.08056	0.0187089	2466.34	45.4989
6.28319	13.8997	20.389	0.0438530	1.08015	0.0185137	2462.68	45.6312
6.28319	13.9497	20.563	0.0438067	1.07916	0.0186289	2463.02	45.7659
6.28319	13.9997	20.697	0.0437973	1.07868	0.0186049	2462.45	45.9026
6.28319	14.0497	20.837	0.0438029	1.07873	0.0193241	2462.23	45.8684
6.28319	14.0997	20.957	0.0438347	1.07885	0.0183614	2460.78	45.9250
6.28319	14.1497	21.078	0.0438436	1.07744	0.0191044	2457.01	46.1825
6.28319	14.1997	21.178	0.0438252	1.07674	0.0195965	2456.43	46.1071
6.28319	14.2497	21.336	0.0437994	1.07648	0.0184662	2457.32	46.1336
6.28319	14.2997	21.504	0.0438583	1.07570	0.0186873	2452.25	46.2788
6.28319	14.3497	21.653	0.0437882	1.07430	0.0190622	2452.95	46.2623
6.28319	14.3997	21.834	0.0438569	1.07374	0.0183628	2447.87	46.2818
6.28319	14.4497	21.980	0.0437990	1.07259	0.0186660	2448.47	46.1712
6.28319	14.4997	22.116	0.0438241	1.07205	0.0189453	2445.81	46.3117
6.28319	14.5497	22.275	0.0437775	1.07253	0.0184873	2449.53	46.3573
6.28319	14.5997	22.450	0.0438583	1.07288	0.0190789	2445.78	46.3306
6.28319	14.6497	22.583	0.0438227	1.07150	0.0196112	2444.62	46.4351
6.28319	14.6997	22.699	0.0437887	1.07066	0.0186345	2444.64	46.3591
6.28319	14.7497	22.831	0.0438249	1.07091	0.0189044	2443.18	46.2611
6.28319	14.7997	22.979	0.0438540	1.07054	0.0187950	2440.70	46.5015
6.28319	14.8497	23.148	0.0438157	1.06833	0.0193962	2437.78	46.5869
6.28319	14.8997	23.310	0.0438135	1.06749	0.0195253	2435.97	46.5892
6.28319	14.9497	23.451	0.0438323	1.06713	0.0194330	2434.11	46.6620
6.28319	14.9997	23.576	0.0438291	1.06706	0.0193687	2434.13	46.6104
6.28319	15.0497	23.730	0.0437890	1.06610	0.0184997	2434.22	46.5061
6.28319	15.0997	23.877	0.0437968	1.06553	0.0186487	2432.47	46.6158
6.28319	15.1497	23.989	0.0438389	1.06593	0.0199927	2430.99	46.7936
6.28319	15.1997	24.157	0.0438302	1.06519	0.0192698	2429.81	46.9700
6.28319	15.2497	24.294	0.0438616	1.06407	0.0190938	2425.53	46.9411
6.28319	15.2997	24.439	0.0437857	1.06293	0.0191349	2427.12	46.9906
6.28319	15.3497	24.577	0.0437529	1.06354	0.0188808	2430.35	46.8594
6.28319	15.3997	24.699	0.0438783	1.06404	0.0191165	2424.54	46.8170
6.28319	15.4497	24.834	0.0438379	1.06204	0.0194914	2422.18	47.0294
6.28319	15.4997	25.027	0.0437724	1.06090	0.0202066	2423.18	47.5196
6.28319	15.5497	25.188	0.0438317	1.06121	0.0200110	2420.62	47.5137
6.28319	15.5997	25.350	0.0438519	1.06075	0.0193962	2418.49	47.4662
6.28319	15.6497	25.433	0.0438266	1.05864	0.0200022	2415.03	47.5521
6.28319	15.6997	25.581	0.0438455	1.05777	0.0188187	2412.06	47.7235
6.28319	15.7497	25.750	0.0437955	1.05751	0.0193494	2414.20	47.8771
6.28319	15.7997	25.898	0.0438252	1.05648	0.0199996	2410.18	47.9968
6.28319	15.8497	26.077	0.0438390	1.05490	0.0218485	2405.73	48.0364
6.28319	15.8997	26.234	0.0437859	1.05524	0.0200236	2409.51	48.0097
6.28319	15.9497	26.354	0.0438478	1.05533	0.0191162	2406.36	47.9986
6.28319	15.9997	26.483	0.0438020	1.05446	0.0201537	2406.83	48.0942
6.28319	16.0497	26.685	0.0438156	1.05479	0.0203786	2406.83	48.1018
6.28319	16.0997	26.870	0.0438508	1.05350	0.0199205	2401.99	48.3037
6.28319	16.1497	27.055	0.0438178	1.05130	0.0200543	2398.77	48.4775
6.28319	16.1997	27.163	0.0438091	1.05154	0.0198681	2399.81	48.6373
6.28319	16.2497	27.286	0.0438014	1.05172	0.0202115	2400.61	48.4461
6.28319	16.2997	27.452	0.0438260	1.05153	0.0202189	2398.84	48.5772
6.28319	16.3497	27.583	0.0438343	1.05077	0.0201924	2396.64	48.8079
6.28319	16.3997	27.714	0.0438060	1.04991	0.0200832	2396.25	48.8513
6.28319	16.4497	27.872	0.0438310	1.04935	0.0202213	2393.60	49.0209
6.28319	16.4997	28.001	0.0437943	1.04934	0.0206505	2395.56	49.0184
6.28319	16.5497	28.186	0.0439058	1.04827	0.0211163	2387.01	49.2523
6.28319	16.5997	28.334	0.0437866	1.04601	0.0207544	2388.38	49.5132
6.28319	16.6497	28.467	0.0437987	1.04577	0.0209140	2387.14	49.5391
6.28319	16.6997	28.626	0.0437967	1.04588	0.0208367	2387.52	49.6545
6.28319	16.7497	28.782	0.0438498	1.04613	0.0207413	2385.21	49.8159
6.28319	16.7997	28.945	0.0438322	1.04496	0.0216848	2383.43	50.1587
6.28319	16.8497	29.081	0.0437975	1.04431	0.0201300	2383.93	50.1945
6.28319	16.8997	29.223	0.0438579	1.04283	0.0214559	2377.19	50.3583
6.28319	16.9497	29.374	0.0437918	1.04231	0.0216795	2379.60	50.1736
6.28319	16.9997	29.559	0.0438494	1.04209	0.0207068	2376.01	50.2285
6.28319	17.0497	29.722	0.0438069	1.03991	0.0211103	2373.31	50.2793
6.28319	17.0997	29.867	0.0438207	1.03987	0.0213972	2372.47	50.3587
6.28319	17.1497	29.989	0.0438181	1.04009	0.0223991	2373.06	50.4815
6.28319	17.1997	30.148	0.0438180	1.03889	0.0207201	2370.42	50.4785
6.28319	17.2497	30.343	0.0438202	1.03806	0.0220047	2368.34	50.7950
6.28319	17.2997	30.487	0.0438707	1.03718	0.0201245	2363.69	50.8531
6.28319	17.3497	30.667	0.0438227	1.03557	0.0212936	2362.55	51.0037
6.28319	17.3997	30.848	0.0438019	1.03529	0.0214457	2363.04	51.3261
6.28319	17.4497	30.966	0.0438174	1.03461	0.0215879	2360.64	51.4780
6.28319	17.4997	31.117	0.0438820	1.03470	0.0217990	2357.36	51.5585
6.28319	17.5497	31.262	0.0437967	1.03228	0.0219877	2356.40	51.5256
6.28319	17.5997	31.371	0.0438139	1.03207	0.0222394	2355.01	51.8123
6.28319	17.6497	31.486	0.0438069	1.03088	0.0220606	2352.65	51.8074
6.28319	17.6997	31.653	0.0438250	1.03204	0.0226693	2354.30	52.3062
6.28319	17.7497	31.838	0.0438032	1.03087	0.0227236	2352.81	52.4798
6.28319	17.7997	31.990	0.0438148	1.03062	0.0225257	2351.63	52.7268
6.28319	17.8497	32.129	0.0438459	1.02969	0.0221418	2347.86	52.8809
6.28319	17.8997	32.294	0.0438133	1.02920	0.0224152	2348.47	53.0670
6.28319	17.9497	32.433	0.0438183	1.02943	0.0232604	2348.68	53.2011
6.28319	17.9997	32.640	0.0438711	1.02722	0.0227981	2340.84	53.4248
6.28319	18.0497	32.747	0.0437933	1.02596	0.0230625	2342.11	53.5648
